task_ID,paper_ID,User Task,Visualisation Tools/Technique,How User Carries Out Task,"Task Type (network, geospatial, temporal, neither, all)",Geo_Modifier,Rule,Archetype,WHY Details,Why L1 Action,Why L2 Action,Why L3 Action,HOW Encode,HOW Manipulate (Interactive),HOW Facet (Dashboards/Multiple Views),HOW Reduce (Large datasets),Animation,Colour,Fill (Coverage),Orientation,Position,Saturation/Luminance,Shape,Size,Text,Texture,What Cat.,What Subcat.
T11,beiranvand2021,Locate Post-Contingency Vulnerabilities,Clustered Sankey diagram with LODF-based colour coding,Users examine colour-coded clusters to see which lines would carry redistributed flow if a line fails. Lines in the same colour cluster carrying heavy flows indicate vulnerability.,Network,No Geo,Other,Other,"Computing/deriving vulnerability from LODF analysis. ""The clustering technique uses the data extracted from the Line Outage Distribution Factors (lodf) matrix"" (page 1) and ""detecting what alternative paths are available for a heavy flow within the grid"" - deriving insights from mathematical analysis",Analyse,Produce,Derive,"colour-coded clustering on Sankey diagram based on Line Outage Distribution Factors, Mark: coloured line segments",,,Clustering algorithm reduces complexity of LODF relationships,,Different colours for different vulnerability clusters,,,Grouping: Lines clustered by similar LODF characteristics,,,,,,Attribute-Based,"On the Links - Power Flow, Loading, Capacity, Status"
T12,beiranvand2021,Compare Line Loading Levels,Sankey network diagram with proportional line thickness,"Users visually compare line thicknesses across the network. The thickness scale (e.g., 500 MW or 200 MW) provides reference for quantitative comparison of power flows.",Network,No Geo,R2,A2,"Comparing relative magnitudes across branches. ""Each thin vertical coloured line corresponds to a particular branch, with its lower extent showing the minimum plausible flow, and its upper the maximum"" (page 3) - direct comparison of values",Query,Compare,,"Line thickness variations in Sankey diagram, Mark: Lines of varying thickness",,,,,,,,Vertical arrangement for comparison,,,Thickness: Direct encoding of loading magnitude,,,Attribute-Based,"On the Links - Power Flow, Loading, Capacity, Status"
T13,beiranvand2021,Trace power from generators to loads,Top-to-bottom (veritcally-oriented) flow orientation in Sankey diagram,Users follow the flow paths from top (generation) to bottom (loads) through the network. The vertical orientation makes it easier to trace power delivery paths compared to traditional geographic layouts.,Network,No Geo,R4,A1,"Following and discovering complete power delivery paths. ""This allows a rapid identification of the most important bulk power exchanges"" and ""Lines are oriented such that all power flows are from the top to the bottom of the diagram"" (page 1) - discovering flow patterns through the network",Analyse,Consume,Discover,"Vertical flow orientation in Sankey diagram with all flows going top to bottom, Mark: Connected lines forming paths",,,Simplified to main transmission paths,,,,Unidirectional downward flow,Top-to-bottom vertical flow,,,,,,Topology-Based,Accessibility - Direct/Indirect Connection
T14,beiranvand2021,Identify Secure/Insecure Grid Sections,Clustered Sankey diagram with LODF-based grouping with colour-coded line groups,"Users examine different coloured clusters and assess their characteristics - clusters with many well-connected lines carrying light flows indicate secure sections, while clusters with few heavily-loaded lines indicate vulnerable sections with limited alternative paths.",Network,No Geo,R4,A1,"Deriving security assessment from clustering analysis. ""The clustering methodology also brings further useful insights regarding the operational vulnerabilities to the operators"" (page 3) and ""These facts suggest the line and specific area could be important operational vulnerabilities for the grid"" - deriving security insights from the LODF clustering",Analyse,Produce,Derive,"Clustering with colour coding showing line groups, Mark: Grouped/clustered line segments",,,Aggregation through clustering algorithm,,Different colours for security levels,,,Spatial grouping: Clustered arrangement of related lines,Potentially indicating severity,,,,,Topology-Based,Connectivity
T15,chen2014,Monitor Wide Area System Dynamics,Geographic map display with colour-coded traffic light gauges,"Users view interconnection overview on geographic map with colour-coded metrics  (frequency, voltage, power flows, damping)  and can drill down using menus to pinpoint problem locations across the interconnected network.",Geospatial + Network,Geo,R5,A5,"Discovering patterns and anomalies in system behavior across the interconnection. ""provides wide-area situational awareness of the power system"" (page 2) and ""enabling operators to monitor the system dynamics across multiple areas in real-time"" (page 1) - discovering system-wide behavioral patterns",Analyse,Consume,Discover,"Geographic map display with colour-coded traffic light gauges showing frequency, voltage, power flows, and damping; Mark: Points (substations) on geographic map",Pan and zoom on geographic map,"Different gauges for different metrics (frequency, voltage, etc.)",Overview display showing only critical metrics,,Traffic light encoding (green/yellow/red for normal/warning/critical),,,Geographic coordinates,,Gauge representations for different metrics,,,,Overview,General Overview
T16,chen2014,Identify Phase Angle Separations/Grid Stress,Geographic map with angle-difference visualisation between network locations,Users monitor phase angle separations displayed on the geographic map to identify excessive stress when safe limits are approached or exceeded. The system alarms on abnormal conditions based on predefined thresholds.,Geospatial + Network,Geo,R3,A4,"Locating specific areas of excessive grid stress. ""Monitoring angle separation can increase transmission system reliability by indicating and identifying excessive stress if the safe limits are approached or exceeded"" (page 2) - locating specific stress points",Search,Locate,,"Geographic map with angle-difference visualisation between locations, Mark: Lines or connections between points",Interactive selection of node pairs,,Threshold filtering to show only significant separations,,Normal vs stressed conditions,,,,Magnitude of angle difference,,Line thickness: Potentially encoding stress level,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T17,chen2014,Monitor Power Flows and Inter-area Transfers,Trend charts and geospatial map showing transmission lines with flow indicators,Users track power flows on transmission lines shown on the geospatial map and monitor aggregated transmission line groups (paths/flowgates) that form corridors for power interchange.,All,Geo,R1,A3,"Identifying current status of power flows and transfers. ""This application tracks and detects threshold violations and abnormal changes in power transfer along key corridors in real-time"" (page 3) - identifying current operational status",Query,Identify,,"Geographic map showing transmission lines with flow indicators and trend charts, Mark: Lines on geographic map + trend charts",Select specific lines or corridors,Map view + trend chart view Temporal trends,Aggregation into flowgates/corridors,,Flow direction or utilization level,,,Geographic placement,,,Line thickness: Flow magnitude,,,Attribute-Based,"On the Links - Power Flow, Loading, Capacity, Status"
T18,chen2014,Monitor System Oscillations,Oscillation monitoring displays on network visualisation,"Users monitor modal frequency, damping ratio, and energy levels of oscillations across the interconnected system. Alerts trigger when damping ratio falls below 5% (attention needed) or 3% (corrective action required).",Network + Temporal,No Geo,R1,A3,"Discovering oscillatory patterns and stability issues.  ""this application performs modal analysis on both ambient system conditions and under transient disturbance conditions"" (page 3) - discovering modal behavior patterns",Analyse,Consume,Discover,"Oscillation monitoring displays showing modal frequency, damping ratio, and energy levels, Mark: Lines/bars in monitoring displays",,Multiple modes displayed simultaneously,Focus on 2-3 critical modes only,Real-time updates,Mode identification,,,"Frequency on x-axis, damping on y-axis",,,Energy level,,,Overview,Overview with Monitoring/Tracking
T19,chen2014,Identify Islanding Conditions,Network monitoring using frequency and angle signals across the grid,"Users track frequency differences and/or angle differences across the network topology. When monitored metrics exceed pre-defined thresholds, the system triggers alarms for islanding conditions.",Network,No Geo,R4,A1,"Discovering when system separations occur. ""The Islanding Detection application utilizes frequency signals and/or voltage angle signals as input to track frequency differences"" (page 4) - discovering topology changes",Analyse,Consume,Discover,"Frequency and angle difference monitoring with alarm indicators, Mark: Alarm indicators/symbols",,,Binary alarm state (island/no island),Blinking: Attention-drawing animation,Red for islanding detection,,,,,Symbol: Special indicator for islands,,,,Topology-Based,Connectivity
T20,chen2014,Navigate PMU Locations on Map,Multi-layer ArcGIS map with PMU clustering manager,Users view PMU locations on the geographic map. They can enable the cluster manager to group PMUs based on geographical distance to avoid overwhelming displays. Users can click on alarm locations to automatically zoom and highlight them on the map.,Geospatial + Network,Geo,Other,Other,"Exploring the spatial distribution of measurement infrastructure. ""displaying all PMUs at the same time on the map may be overwhelming... A user can enable the cluster manager so that PMUs within the same layer can be grouped"" (page 5) - exploring PMU deployment",Search,Explore,,"Multi-layer ArcGIS map with PMU clustering and de-cluttering features, Mark: Points/symbols on map","Enable/disable clustering, zoom",Multi-layer with different infrastructure layers,Clustering algorithm to avoid clutter,,,,,"Geographic coordinates, Grouping: Cluster representation",,,Potentially number of PMUs in cluster,,,Domain-Specific,Geographic/Spatial Integration
T21,chen2014,Identify location of alarm geographically,Auto zoom to alarm location on the multi-layer ArcGIS map with alarm indicators,"Users click on alarm indicators in the alarm grid view, which automatically zooms the map to the geographic location of the alarm and highlights it. The paper states: ""The map view has the feature to automatically zoom in and highlight alarm locations by clicking on alarm grid view and incident indicator"" (page 5)",Geospatial + Network,Geo,R3,A4,"Locating specific alarm sources on the network. ""This feature enables users to fast identify the source of corresponding issues"" (page 5) - locating where problems are occurring",Search,Locate,," Link + Mark on geographic map, Link: Interactive linking between alarm grid view and map view, Mark: Geographic position on map with visual highlighting/zoom to show alarm location, Mark: Highlighted regions/points on map","Click interaction linking grid to map, automatic zoom",Alarm grid view + map view (coordinated),Filter to show only active alarms,Zoom transition,"Alarm severity/type, Highlighting: Visual emphasis",,,Geographic location,,,,,,Domain-Specific,Geographic/Spatial Integration
T22,chin2020,Identify Contingency Effects and Violations,Colour-coded nodes and heatmap overlays on geospatial map,"Users identify red nodes indicating voltage violations, with heatmap showing extent of violations (0.6-1.2+ pu) using colour gradients, and normal nodes in gray. Users examine the map displaying load buses (rectangles), generators (upside-down triangles), unknown nodes (circles), and transmission lines. Users can pan and zoom around the map using Leaflet controls.",Geospatial + Network,Geo,R4,A1,"Looking up known violation conditions from simulation results. ""Nodes in violation of their normal voltages are red, while nodes not in violation are gray"" (page 3) - looking up which components are violating limits in the simulation data",Search,Lookup,,"colour coding on geospatial map (red for violations, gray for normal), heatmap visualisation for voltage violations; Mark: Points (nodes) and lines on map",Interactive selection of contingencies,,Binary violation status simplification,,"Red for violations, gray for normal; Heatmap gradient: Voltage violation severity (0.6-1.2+ pu)",,,Geographic coordinates,Heatmap gradient: Voltage violation severity (0.6-1.2+ pu),,,,,Topology-Based,Accessibility - Direct/Indirect Connection
T23,chin2020,Browse Power Grid Topology and Current State,Geospatial map with interaction and colour coding using standard power grid symbols,"Users pan, zoom and interact with map showing nodes (load buses as rectangles, generators as triangles) and transmission lines, view nodes and lines with colours indicating violations (red for violation, gray for normal).",Geospatial + Network,Geo,R4,A1,"Exploring the network layout and component states. ""the Geospatial Map may be used to examine the layout of the power grid and the current state of its various components"" (page 3) - exploring/examining the system",Search,Explore,,"Geospatial map with standard power grid symbols (rectangles for load buses, upside-down triangles for generators, circles for unknown nodes); Mark: Geometric shapes for components",Pan and zoom using Leaflet controls,,,,Component state,,,Geographic placement,,"Rectangles (loads), triangles (generators), circles (unknown)",,,,Topology-Based,Adjacency - Direct Connection
T24,chin2020,Compare Line Flow Conditions,"Variabel line thickness, colour encoding with checkbox filters for kV levels above the geospatial map","Users view and comapre transmission line thickness and colours: red outer = >100% rating, yellow = 85-100%, thinner lines = <85%. Users toggle checkboxes to show/hide transmission lines of specific voltage classes.",Geospatial + Network,Geo,R2,A2,"Comparing actual flow against line ratings. ""A red outer line indicates the flow is greater than 100% of the line's rating, and a yellow line indicates between 85-100%"" (page 3) - comparing flow values to capacity thresholds",Query,Compare,,"Line thickness and colour coding (red outer = >100% rating, yellow = 85-100%, thinner lines = <85%); Mark: Double-encoded lines (outer and inner colours)",,,Three-tier categorization of loading levels,,"Outer colour: Red (>100%), yellow (85-100%), thin (<85%); Inner colour: Voltage level",,,Geographic path,,,Line thickness: Overall size encoding,,,Attribute-Based,"On the Links - Power Flow, Loading, Capacity, Status"
T25,chin2020,Locate contingency details on map,Interactive geospatial map with linked tables,Users click table rows in the Contingencies Interactive Table which automatically zooms and highlight specific transmission line(s) or bues(es) on the map.,Geospatial + Network,Geo,R3,A4,"Locating specific components selected from tables.  ""Clicking one or more rows of the Contingency Interactive Table will cause the Geospatial Map to zoom the view into and highlight the associated line(s)"" (page 2) - locating selected elements",Search,Locate,,Interactive selection and zoom on geospatial map; Mark: Highlighted elements,"Click interaction from table to map, automatic zoom and pan",Coordinated table and map views,Focus on selected elements only,Zoom transition,Highlighting: Visual emphasis,,,Centered in view,,,,,,Domain-Specific,Geographic/Spatial Integration
T26,chin2020,Track Cascading Effects Over Time,"The Media Controls are step-to-beginning, step backward, play/pause, step forward, and stepto-end. Step-to-beginning and step-to-end respectively adjusts the view to snapshot 1 of the first or last contingency. Stepforward / step backward adjust the view to the next or previous snapshot. When the play button is active, the Contingency Display and Slider automatically update to reflect what contingency, stage, and snapshot is currently being displayed. This causes the Geospatial Map to update at every snapshot (Animated geospatial map with playback controls)","Users control animation playback via media controls (play/pause, step forward/backward) and slider to view temporal progression of cascading effects and snapshots on geospatial map, observing how violations cascade across the network over time.",All,Geo,R1,A3,"Discovering how failures cascade through the system over time. ""Animation playback capabilities is an essential feature... allows the analyst to view the causes and effects of contingencies and corrective actions. The progression of cascading effects and behaviors may be better controlled"" (page 3) - discovering cascade patterns",Analyse,Consume,Discover,"Animation controls with step-by-step progression through contingency stages and snapshots, Mark: Animated network elements","Media controls (play/pause, step forward/backward), slider for direct navigation",Contingency Display showing current stage/snapshot,Discrete snapshots instead of continuous time,Temporal progression,Changing violation status,,,Geographic location,,,,,,Topology-Based,Accessibility - Direct/Indirect Connection
T27,chin2020,Identify Regional Impact Patterns,Heatmap visualisation overlaid on geospatial network map,"Users identify whether a generator or load bus (node) is over or under voltage from the colour of the blurred circle (heatmaps) which shows the spatial extent and severity of voltage violations across geographic regions. The visualisation layers circles, edges, then nodes for visibility.",Geospatial + Network,Geo,Other,Other,"Discovering spatial patterns of violation clustering. ""The goal is to allow analysts to be able to view the overall physical shape and extent of anomalous or critical power grid activity"" (page 3) - discovering regional patterns",Analyse,Consume,Discover,"Heatmap visualisation showing blurred circles around violated nodes, Mark: Blurred circles (heatmap)",,ayered over base map,Spatial aggregation through blurring,,Colour gradient: Violation severity; lur radius: Area of influence,,,Geographic coordinates,Fade with distance,,,,,Domain-Specific,Geographic/Spatial Integration
T28,chin2020,Filter Grid Elements by Voltage Level,Geospatial map with checkbox filters,Users toggle checkboxes above the map corresponding to specific kV levels to show/hide transmission lines of those voltage levels on the network display.,Geospatial + Network,Geo,Other,Other,"Selectively browsing specific voltage subsystems. ""All lines may be filtered via checkboxes above the Geospatial Map, which are tied to specific kV levels"" (page 3) - browsing filtered subsets of the network",Search,Browse,,"Checkboxes to toggle visibility of specific voltage levels on map, Mark: Lines with voltage-based visibility",Checkbox interactions for filtering,,Selective display reducing visual complexity,,Voltage level encoding,,,Geographic paths; Visibility: Show/hide based on selection,,,,,,Domain-Specific,Filtering/Selection
T29,cuffe2020,Identify Voltage-Level Congestion Patterns,Colour-coded voltage level groupings with a red directional arrow showing problematic flow on network diagram with concentric layout,"Users observe the colour-coded network where different voltage levels are shown in different colours (blue for low voltage, green for 165kV, etc.) arranged concentrically to identify which voltage levels have more congestion issues.User sees arrow direction indicating problematic flow.",Network,No Geo,Other,Other,"Discovering patterns of congestion distribution across voltage tiers. ""Inspection of Fig. 1 reveals that most of the congestion problem are likely to arise in the lower voltage system, shown in blue"" (page 3) - discovering voltage-stratified patterns",Analyse,Consume,Discover,"colour coding by voltage level (blue for low voltage, green for 165kV, etc.) in both boxplot and network diagram; Mark: colour-coded sections",,Voltage-based grouping,Aggregation by voltage level,,"Blue (low voltage), green, purple (high voltage)",,,Spatial grouping: By voltage level; Density: Number of at-risk branches per level,,,,,,Attribute-Based,"On the Links - Power Flow, Loading, Capacity, Status"
T30,cuffe2020,Derive Power Flow Directionality,Network diagram with directional arrows showing flow patterns,Users trace the directional arrows on the network to understand power flow patterns - observing that most arrows point outward from the system's core or identifying corridors where power flows toward higher voltage levels.,Network,No Geo,Other,Other,"Deriving flow patterns from the visualisation. ""Inspection of Fig. 1 reveals that most of the congestion problem are likely to arise in the lower voltage system, shown in blue"" (page 3) - discovering voltage-stratified patterns",Analyse,Produce,Derive,Directional arrows on network diagram showing problematic flow direction; Mark: Directional arrows on lines,,,Simplified to dominant flow patterns,,Red for problematic flows,,Arrow orientation: Flow direction,,,,,,Spatial pattern: Radial from center,Attribute-Based,"On the Links - Power Flow, Loading, Capacity, Status"
T31,cuffe2020,Identify Congestible/At-Risk Branches,Electrically-meaningful network diagram with colour-coded directional arrows (red),Users visually identify groups of overloaded branches that are marked with red directional arrows indicating branches that could become overloaded and their problematic flow direction.,Network,No Geo,Other,Other,"Looking up which branches could exceed capacity under renewable fluctuations. ""Those branches whose loadability extends beyond the �100% envelope are plotted in red to denote their at-risk status"" (page 3) - looking up specific at-risk branches from optimization results",Search,Lookup,,"Red colour marking on branches in network diagram; red vertical lines in boxplot; Mark: Lines on network diagram, vertical bars in boxplot",Interactive hovering (proposed),Boxplot view + network diagram view,Binary classification (at-risk vs safe),,Red for at-risk branches,,,Electrical distance-based layout,,,Loading range in boxplot,,,Attribute-Based,"On the Links - Power Flow, Loading, Capacity, Status"
T32,cuffe2020,Locate Congestion Flowgates,Electrically-meaningful network diagram with labeled groupings,"Users examine the network diagram to identify spatial clusters of red arrows (labeled A, B, etc.) that represent coherent groups of branches that overload together, forming congestion flowgates.",Network,No Geo,R3,A4,"Locating spatial groupings of congestion-prone branches. ""For instance, a group of congestable branches can be seen at label A in Fig. 2. This 'flowgate' arises as power is being served out of the 400 kV network"" (page 3) - locating specific congestion areas",Search,Locate,,Spatial groupings on electrically-meaningful network diagram with directional arrows; Mark: Grouped lines with arrows,,,Aggregation into flowgate groups,,Red for problematic branches,,Arrow direction: Overload flow direction,Spatial proximity: Grouped arrangement,,,,"A, B, C, D for different flowgates",,Topology-Based,Connectivity
T33,cuffe2020,Browse Network Structure,Electrically-meaningful layout with concentric voltage levels,"Users explore the network visualisation where nodes are positioned based on electrical distance rather than geographic location, with voltage levels arranged concentrically (highest voltage in center) to understand the electrical structure and relationships.",Network,No Geo,R5,A5,"Exploring the electrical topology and relationships. ""This electrically meaningful system diagram allows the local groupings of at-risk branches to be determined visually"" (page 3) ",Search,Explore,,Electrically-meaningful layout with concentric voltage levels; Mark: Nodes and edges in layout,,,Geographic detail removed for electrical clarity,,Voltage level encoding,,,Electrical distance-based placement; Nesting: Concentric voltage levels,,,,,,Overview,General Overview
